OBJECTID,CSA2010,cmos11,cmos14,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,6,4,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,7,0,47882527.7110596,37524.9505334171
3,Belair-Edison,6,11,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,7,1,176077742.748718,150987.703638772
5,Canton,3,0,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,6,2,71541340.3063965,39962.5498347165
7,Cherry Hill,0,1,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,3,0,21022590.1307373,21705.411630344
9,Claremont/Armistead,1,0,61243774.4211426,40104.415980189
10,Clifton-Berea,25,33,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,2,0,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,2,2,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,4,3,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,11,6,20736554.4064941,21565.859394559
15,Edmondson Village,2,1,23563061.0443115,21504.551357829
16,Fells Point,5,2,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,8,2,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,2,2,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,37,37,27051213.4559937,26454.2692113332
20,Greater Govans,16,11,22698495.7178955,22982.125714974
21,Greater Mondawmin,7,7,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,1,0,56688145.1790161,39862.7497953118
23,Greater Rosemont,12,5,42204384.5406494,32559.0762211491
24,Greenmount East,105,136,19072287.8240967,20797.4734578598
25,Hamilton,1,0,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,21,3,10215859.0836182,18552.4075815937
27,Harford/Echodale,5,5,65360039.1698608,40019.1854001996
28,Highlandtown,7,1,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,10,13,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,17,4,24995836.2615967,43415.0595478862
31,Lauraville,2,0,49665744.2354736,34419.676527973
32,Loch Raven,2,2,44147812.3265381,29314.3346718286
33,Madison/East End,26,18,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,11,14,62441489.2398071,43152.625699222
35,Midtown,52,30,23823949.9294434,25020.0969698082
36,Midway/Coldstream,26,20,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,3,1,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,4,3,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,5,5,74923987.6937256,42904.2221443544
40,Northwood,3,1,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,30,3,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,7,1,89894372.2113037,47825.8629266244
43,Patterson Park North & East,56,43,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,35,58,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,12,4,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,13,19,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,30,74,23672092.8682861,20987.1433066354
48,South Baltimore,6,1,46353935.4255981,68440.0258266401
49,Southeastern,2,2,111251478.472229,102291.480547698
50,Southern Park Heights,16,21,27876227.5908203,24052.221372193
51,Southwest Baltimore,102,101,37766068.8365479,28355.563581391
52,The Waverlies,9,10,20383750.5437012,18733.826879757
53,Upton/Druid Heights,106,80,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,15,9,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,6,1,45494092.9501953,42573.1244161851
