OBJECTID,CSA2010,empl10,empl11,empl12,empl13,empl14,empl15,empl16,empl17,empl18,empl19,CSA2020,empl20,empl21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,50.4666666666667,48.9910137159073,57.6911514179777,60.3308211803856,57.5861,57.1525753158406,57.1669952126162,60.2484472049689,60.1791378988617,64.01337793,Allendale/Irvington/S. Hilton,64.39484036,64.78657074,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,63.5666666666667,62.0495931809376,66.8558332423879,62.8414046362176,64.0085,64.6897910055805,66.1995398452207,68.4029320302088,71.6192887558982,74.90524865,Beechfield/Ten Hills/West Hills,77.69163436,77.60197416,47882527.7110596,37524.9505334171
3,Belair-Edison,54.55,58.0857337264686,62.3339498907012,61.8732013604256,58.0907,55.448569576891,55.4128110681879,54.6225096120237,54.7713970650606,57.78972935,Belair-Edison,62.95217928,60.3803635,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,40.475,53.2794957652157,56.6086120311999,54.6417759838547,54.8204,54.8791405550582,58.4715515431451,59.3828571428571,58.2244517032197,55.75679172,Brooklyn/Curtis Bay/Hawkins Point,56.78519594,57.71859533,176077742.748718,150987.703638771
5,Canton,76.5,74.8576565777645,84.6166807076664,83.6553204538485,84.7887,85.9148481611476,88.129983451181,87.2898849896785,88.5193621867881,88.07284669,Canton,86.76694014,87.20560153,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,62.42,62.8433734939759,65.2532178515578,64.7990105132962,64.1871,66.5087550971456,68.4194111776447,68.2044736202285,66.2369736762845,68.46676044,Cedonia/Frankford,69.1847956,67.45734499,71541340.3063965,39962.5498347166
7,Cherry Hill,43.2333333333333,45.1171875,51.2834320588763,50.794237162911,52.2329,49.5925020374898,51.8598150935283,50.9720145268105,50.3419689119171,51.49586251,Cherry Hill,53.63782419,54.41776167,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,64.75,62.4920936116382,69.5309496347559,73.1485148514851,67.5628,71.1463909913236,72.2093230934095,73.348439951194,74.402670414617,77.18405428,Chinquapin Park/Belvedere,76.85884053,77.40207566,21022590.1307373,21705.411630344
9,Claremont/Armistead,56.5,56.0173026417426,61.4713430282293,62.3200677392041,61.1092,61.3473909935668,63.9598379425753,65.2673750217732,63.2820341251254,67.60058641,Orchard Ridge/Armistead,68.61262529,66.46932185,61243774.4211426,40104.415980189
10,Clifton-Berea,37.56,38.6314067611778,46.5225225225225,44.8629531388152,49.5769,52.8971296131218,54.3354655294954,54.9600136123872,56.9160997732426,56.91293388,Clifton-Berea,58.24369255,55.59203776,23285233.9251099,24022.7646207842
