OBJECTID,CSA2010,ownroc10,ownroc11,ownroc12,ownroc13,ownroc14,ownroc15,ownroc16,ownroc17,ownroc18,ownroc19,ownroc20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,66,61.64,61.77529708,60.29094828,58.14993738,58.14993738,55.83038869,55.52821234,55.52821234,52.26086957,52.26086957,63770461.779541,38770.1655711966
2,Beechfield/Ten Hills/West Hills,83,79.47,81.02250625,80.77243679,78.65448505,78.65448505,77.25131615,77.2172949,77.2172949,75.51246537,75.51246537,47882527.711731,37524.9505333862
3,Belair-Edison,67,64.8,64.51048951,63.47895155,61.56289708,61.56289708,58.61795075,58.0711789,58.0711789,54.22759059,54.22759059,44950030.4730835,31307.3148434905
4,Brooklyn/Curtis Bay/Hawkins Point,50,46.21,46.85150376,45.62969925,43.49258649,43.49258649,41.325811,40.32902468,40.32902468,36.95296045,36.95296045,176077742.748291,150987.70363871
5,Canton,70,67.93,68.72049689,68.36481113,66.62534094,66.62534094,67.57493188,66.88954928,66.88954928,65.11397423,65.11397423,15408538.2248535,23338.6119476392
6,Cedonia/Frankford,79,76.53,76.10563156,75.24642289,73.07875895,73.07875895,71.08108108,71.34456453,71.34456453,68.81652105,68.81652105,71541340.3060913,39962.5498346887
7,Cherry Hill,55,53.01,52.99492386,52.23577236,49.49186992,49.49186992,47.51269036,46.09137056,46.09137056,43.61054767,43.61054767,29144181.3517456,22305.3020666774
8,Chinquapin Park/Belvedere,74,70.31,71.55076237,70.47229453,68.87318706,68.87318706,67.32342007,67.10037175,67.10037175,64.76722533,64.76722533,21022590.1298218,21705.411630324
9,Claremont/Armistead,77,70.9,75.16778523,74.46808511,85.09042788,85.09042788,83.43478261,83.80158033,83.80158033,82.44073749,82.44073749,61243774.4198608,40104.4159801772
10,Clifton-Berea,36,34.35,34.02279443,33.45331357,32.98395722,32.98395722,30.59331176,29.58656331,29.58656331,27.47893714,27.47893714,23285233.9247437,24022.7646207856
11,Cross-Country/Cheswolde,84,83.38,83.62393162,83.11111111,82.29665072,82.29665072,82.23211229,82.40328655,82.40328655,80.93264249,80.93264249,38222018.3170166,26788.3018784185
12,Dickeyville/Franklintown,71,45.57,69.18238994,68.32298137,66.87306502,66.87306502,65.01547988,63.66459627,63.66459627,65.2173913,65.2173913,35719112.4146729,31637.8174238148
13,Dorchester/Ashburton,74,67.76,70.07897046,68.83761682,67.24137931,67.24137931,65.50614394,64.54066706,64.54066706,63.27782647,63.27782647,34118277.1813354,27136.0757115223
14,Downtown/Seton Hill,43,40.69,40.23668639,39.85185185,37.55458515,37.55458515,39.54154728,39.74175036,39.74175036,37.80313837,37.80313837,20736554.4071045,21565.8593945388
15,Edmondson Village,71,64.8,66.5960452,66.06638418,64.53549982,64.53549982,62.42488512,61.57652881,61.57652881,58.12146893,58.12146893,23563061.0440674,21504.5513578719
16,Fells Point,53,51.48,51.88910697,51.66666667,51.3671875,51.3671875,51.62393162,50.52757794,50.52757794,48.51390221,48.51390221,12620515.7177734,27670.1699158504
17,Forest Park/Walbrook,63,59.91,60.05557485,58.11936155,56.44320945,56.44320945,54.25199583,53.6246965,53.6246965,51.78509532,51.78509532,37200535.0299683,36886.899781185
18,Glen-Fallstaff,78,75.57,76.47218453,75.52902876,73.67571928,73.67571928,72.70511779,72.79869954,72.79869954,70.16260163,70.16260163,46995477.4777832,48549.0046179359
19,Greater Charles Village/Barclay,45,43.6,43.38753388,42.98863021,43.1676175,43.1676175,42.76578737,43.70508384,43.70508384,43.6,43.6,27051213.4544067,26454.2692113378
20,Greater Govans,64,60.57,62.15128755,61.27648163,59.23344948,59.23344948,56.75241158,55.73111944,55.73111944,52.62875536,52.62875536,22698495.7175903,22982.1257150065
21,Greater Mondawmin,55,51.62,52.50582751,51.48514851,49.970964,49.970964,47.23279649,46.76427526,46.76427526,43.40064384,43.40064384,33663448.2787476,31136.7318903894
22,Greater Roland Park/Poplar Hill,77,73.15,75.70340947,75.68640423,75.35560701,75.35560701,76.16683217,76.43164515,76.43164515,75.14851485,75.14851485,56688145.180481,39862.7497953315
23,Greater Rosemont,51,48.09,47.3362081,46.70575098,45.40866396,45.40866396,42.8771733,42.3488045,42.3488045,38.29697396,38.29697396,42204384.5409546,32559.0762212062
24,Greenmount East,30,29.3,29.12047302,28.61704741,28.0332681,28.0332681,27.43098732,26.72627919,26.72627919,24.76600051,24.76600051,19072287.8237305,20797.473457859
25,Hamilton,83,79.27,80.10531136,78.89194139,76.37488543,76.37488543,74.64530892,74.95990836,74.95990836,73.4375,73.4375,45191100.5596313,27712.1110914795
26,Harbor East/Little Italy,42,40.58,37.81710914,37.64011799,36.92579505,36.92579505,37.32638889,36.57407407,36.57407407,33.18410744,33.18410744,10215859.0839233,18552.4075815481
27,Harford/Echodale,84,80.61,81.2958193,80.47091413,78.13861386,78.13861386,77.62140733,77.68758662,77.68758662,76.00631413,76.00631413,65360039.170166,40019.1854001864
28,Highlandtown,62,59.83,59.375,59.95582203,58.29959514,58.29959514,57.67801858,58.34873691,58.34873691,57.22222222,57.22222222,11684191.1188354,14976.1238513953
29,Howard Park/West Arlington,78,74.74,75.32467532,73.9309471,72.25745086,72.25745086,69.94917408,69.74228444,69.74228444,68.46789574,68.46789574,63262430.0731201,36034.4984469622
30,Inner Harbor/Federal Hill,64,61.46,60.66565809,60.48034934,59.04539386,59.04539386,59.87664611,59.93990986,59.93990986,58.31797621,58.31797621,24995836.2617188,43415.0595477941
31,Lauraville,79,75.96,75.85975882,74.6371958,73.56424581,73.56424581,72.81466577,72.81879195,72.81879195,71.33228488,71.33228488,49665744.237793,34419.6765281197
32,Loch Raven,82,80.53,79.76837627,79.05932404,77.743614,77.743614,76.14765736,76.78106509,76.78106509,74.32432432,74.32432432,44147812.3265991,29314.3346718106
33,Madison/East End,27,24.52,25.56039851,24.92279185,24.31263516,24.31263516,23.07930607,22.95081967,22.95081967,22.10655236,22.10655236,8897845.19110107,13120.1587193821
