OBJECTID,CSA2010,vacant10,vacant11,vacant12,vacant13,vacant14,vacant15,vacant16,vacant17,vacant18,vacant19,vacant20,CSA2020,vacant21,vacant22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,4.31,4.69,5.095426719,5.244252874,5.743424584,6.01180891,5.141342756,5.695201266,5.99402355422746,6.67826086956522,6.4695652173913,Allendale/Irvington/S. Hilton,5.965217391,5.28695652173913,63770461.7803955,38770.165571317
2,Beechfield/Ten Hills/West Hills,0.28,0.41,0.750208391,0.41678244,0.609080842,0.88593577,0.775838182,0.970066519,1.02549889135255,0.775623268698061,0.554016620498615,Beechfield/Ten Hills/West Hills,0.443213296,0.498614958448753,47882527.7113037,37524.9505335419
3,Belair-Edison,1.45,1.67,2.002542912,2.541699762,2.731893266,3.049555273,2.811755361,3.749602796,3.63838576421989,3.43293070565798,3.3375715193897,Belair-Edison,3.083280356,2.62237762237762,44950030.47229,31307.3148435252
4,Brooklyn/Curtis Bay/Hawkins Point,3.74,4.16,4.981203008,5.45112782,5.930807249,6.166156743,6.276445698,7.05052879,7.82608695652174,7.95693891879242,8.07395272642172,Brooklyn/Curtis Bay/Hawkins Point,8.073952726,7.6761057804821,176077742.748535,150987.703639068
5,Canton,0.92,0.67,0.770186335,0.571570577,0.471113315,0.396727002,0.272479564,0.421000495,0.470529965329371,0.470763131813677,0.396432111000991,Canton,0.346878097,0.346878097125867,15408538.2254028,23338.6119473758
6,Cedonia/Frankford,0.67,0.61,1.097677378,1.287758347,1.654733492,1.909307876,1.399046105,1.335028608,1.20788302606484,1.28673550436855,1.19142176330421,Cedonia/Frankford,1.064336775,0.905480540111199,71541340.3054199,39962.5498346627
7,Cherry Hill,3.44,3.71,3.959390863,4.06504065,4.87804878,5.182926829,5.279187817,5.583756345,6.09137055837564,6.08519269776876,5.98377281947262,Cherry Hill,6.085192698,5.88235294117647,29144181.3508301,22305.3020666166
8,Chinquapin Park/Belvedere,0.33,0.57,0.669393827,1.00409074,1.561918929,1.710673113,1.301115242,1.598513011,1.41263940520446,1.04283054003724,0.819366852886406,Chinquapin Park/Belvedere,0.931098696,0.819366852886406,21022590.1298218,21705.4116303026
9,Claremont/Armistead,0,0.25,0.268456376,0.531914894,0.220555801,0.352889281,0.391304348,0.219490781,0.131694468832309,0.131694468832309,0.131694468832309,Orchard Ridge/Armistead,0.087796313,0.131694468832309,61243774.4208984,40104.4159801398
10,Clifton-Berea,24.5,23.7,24.14520895,25.0688122,26.03208556,26.73796791,25.02696872,26.57192076,26.7011197243755,24.49773169151,23.698422985526,Clifton-Berea,22.46705552,19.9611147116008,23285233.9256592,24022.7646208602
11,Cross-Country/Cheswolde,0.14,0.2,0.102564103,0.102564103,0.17088175,0.1367054,0.136939404,0.068469702,0.102704553235193,0.138169257340242,0.172711571675302,Cross-Country/Cheswolde,0.172711572,0.207253886010363,38222018.3166504,26788.3018783318
12,Dickeyville/Franklintown,1.5,1.44,4.716981132,2.48447205,2.167182663,1.857585139,1.547987616,1.552795031,1.24223602484472,1.5527950310559,1.86335403726708,Dickeyville/Franklintown,1.552795031,1.24223602484472,35719112.4141846,31637.8174239346
13,Dorchester/Ashburton,3.3,3.21,3.334308277,2.862149533,3.097603741,3.477498539,3.569338795,3.452311293,3.4815681685196,3.5056967572305,3.18434122115104,Dorchester/Ashburton,2.892199825,2.65848670756646,34118277.1813965,27136.0757115035
