OBJECTID,CSA2010,cashsa11,cashsa12,cashsa13,cashsa14,cashsa15,cashsa16,cashsa17,cashsa18,cashsa19,cashsa20,CSA2020,cashsa21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,78.22,76.08695652,78.78787879,76.5823,78.26086957,71.03825137,64.19753086,57.471264367816,53.475935828877,49.5652173913043,Allendale/Irvington/S. Hilton,40.50179211,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,32.05,25.37313433,29.03225806,34.7458,27.77777778,30.12048193,25.92592593,15.5688622754491,20.2614379084967,13.4969325153374,Beechfield/Ten Hills/West Hills,19.58762887,47882527.7110596,37524.9505334171
3,Belair-Edison,66.67,67.39130435,67.74193548,69.1542,68.46846847,59.74576271,53.62318841,50.4823151125401,47.457627118644,40.1574803149606,Belair-Edison,36.17021277,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,73.4,72.03389831,76.85950413,75.4237,74.81481481,73.24840764,69.30693069,53.8461538461538,60.427807486631,56.3218390804597,Brooklyn/Curtis Bay/Hawkins Point,48.43049327,176077742.748718,150987.703638771
5,Canton,26.64,20.06472492,15.46052632,18.2836,18.36065574,15.06410256,14.43850267,17.0138888888888,12.7596439169139,9.89583333333333,Canton,11.23809524,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,45.36,42.20779221,40.19138756,43.6937,45.07042254,40.43209877,35.3221957,29.5880149812734,23.076923076923,20.5211726384364,Cedonia/Frankford,18.86792453,71541340.3063965,39962.5498347166
7,Cherry Hill,61.54,86.66666667,76.47058824,95.6522,85.71428571,78.26086957,77.77777778,56.25,75,70.8333333333333,Cherry Hill,80,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,40.32,31.14754098,43.83561644,40,40.59405941,38.46153846,33.33333333,26.8518518518518,28.5714285714285,18.6274509803921,Chinquapin Park/Belvedere,21.25984252,21022590.1307373,21705.411630344
9,Claremont/Armistead,52.63,40,56.25,57.1429,48.38709677,51.72413793,43.24324324,21.4285714285714,16,13.0434782608695,Orchard Ridge/Armistead,21.42857143,61243774.4211426,40104.415980189
10,Clifton-Berea,90.63,85.41666667,87.03703704,93.1373,88.98305085,89.09090909,87.35632184,80.1369863013698,76.4705882352941,74.4680851063829,Clifton-Berea,61.87845304,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,55.56,55.55555556,52.54237288,49.4382,54.25531915,40.17094017,47.82608696,37,31.3253012048192,42.3529411764705,Cross-Country/Cheswolde,34.02061856,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,50,15.38461538,30.76923077,33.3333,28.57142857,14.28571429,13.04347826,22.2222222222222,,15.7894736842105,Dickeyville/Franklintown,15,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,55.29,50,47.57281553,52.8571,46.79487179,46.66666667,35.98130841,23.2954545454545,25,22.0930232558139,Dorchester/Ashburton,23.91304348,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,55.56,39.13043478,37.03703704,15.7895,29.62962963,42.85714286,24.48979592,36.1702127659574,25,22.9166666666666,Downtown/Seton Hill,25,20736554.4064941,21565.859394559
15,Edmondson Village,63.16,58.18181818,73.13432836,51.8519,61.94690265,51.37614679,41.61073826,40.5172413793103,35.4330708661417,30.8270676691729,Edmondson Village,25.51724138,23563061.0443115,21504.551357829
16,Fells Point,29.93,27.27272727,22.3880597,21.7877,19.90291262,19.92031873,21.26984127,23.8095238095238,19.6581196581196,21.2121212121212,Fells Point,14.89361702,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,62.64,61.11111111,53.33333333,58.8235,60.50420168,55.11811024,46.85714286,38.28125,30.0653594771241,28.3870967741935,Forest Park/Walbrook,23.40425532,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,57.5,50,46.06741573,42.3529,62.28070175,53.90625,47.5862069,32.8671328671328,39.5348837209302,37.7777777777777,Glen-Fallstaff,36.73469388,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,46.88,47.86324786,45.6,36.076,40,38.62068966,41.17647059,36.3095238095238,31.0344827586206,33.3333333333333,Greater Charles Village/Barclay,21.34831461,27051213.4559937,26454.2692113332
