OBJECTID_1,CSA2010,totalres10,totalres11,totalres12,totalres13,totalres14,totalres15,totalres16,totalres17,totalres18,totalres19,totalres20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,5568,5551,5554,5568,5589,5589,5660,5689,5689,5750,5750,63770461.7803955,38770.165571317
2,Beechfield/Ten Hills/West Hills,3557,3575,3599,3599,3612,3612,3609,3608,3608,3610,3610,47882527.7113037,37524.9505335418
3,Belair-Edison,6295,6296,6292,6295,6296,6296,6295,6294,6294,6292,6292,44950030.47229,31307.3148435252
4,Brooklyn/Curtis Bay/Hawkins Point,4283,4259,4256,4256,4249,4249,4254,4255,4255,4273,4273,176077742.748535,150987.703639067
5,Canton,4013,4017,4025,4024,4033,4033,4037,4038,4038,4036,4036,15408538.2254028,23338.6119473758
6,Cedonia/Frankford,6294,6290,6286,6290,6285,6285,6290,6292,6292,6295,6295,71541340.3054199,39962.5498346627
7,Cherry Hill,988,985,985,984,984,984,985,985,985,986,986,29144181.3508301,22305.3020666166
8,Chinquapin Park/Belvedere,2694,2688,2689,2689,2689,2689,2690,2690,2690,2685,2685,21022590.1298218,21705.4116303026
9,Claremont/Armistead,725,755,745,752,2267,2267,2300,2278,2278,2278,2278,61243774.4208984,40104.4159801398
10,Clifton-Berea,4783,4756,4738,4723,4675,4675,4635,4644,4644,4629,4629,23285233.9256592,24022.7646208602
11,Cross-Country/Cheswolde,2914,2918,2925,2925,2926,2926,2921,2921,2921,2895,2895,38222018.3166504,26788.3018783318
12,Dickeyville/Franklintown,333,319,318,322,323,323,323,322,322,322,322,35719112.4141846,31637.8174239346
13,Dorchester/Ashburton,3421,3421,3419,3424,3422,3422,3418,3418,3418,3423,3423,34118277.1813965,27136.0757115035
14,Downtown/Seton Hill,670,670,676,675,687,687,698,697,697,701,701,20736554.4072266,21565.8593945825
15,Edmondson Village,2843,2835,2832,2832,2831,2831,2829,2829,2829,2832,2832,23563061.0448608,21504.5513578788
