OBJECTID,CSA2010,salepr10,salepr11,salepr12,salepr13,salepr14,salepr15,salepr16,salepr17,salepr18,salepr19,CSA2020,salepr22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,42500,30000,47500,31805.5,33250,35500,46639.5,55000,75000,77250,Allendale/Irvington/S. Hilton,120000,63770461.779541,38770.1655711968
2,Beechfield/Ten Hills/West Hills,142250,120000,144501,139500,130000,126000,118450,139950,159450,149000,Beechfield/Ten Hills/West Hills,259950,47882527.711731,37524.9505333862
3,Belair-Edison,56000,44000,60000,45100,41975,42000,45550,59075,79900,89758,Belair-Edison,139900,44950030.4730835,31307.3148434905
4,Brooklyn/Curtis Bay/Hawkins Point,58005,42950,47050,45000,40000,37500,45000,52000,67500,57000,Brooklyn/Curtis Bay/Hawkins Point,117450,176077742.748291,150987.70363871
5,Canton,251000,231000,261200,285500,275000,302900,286500,306500,295500,275000,Canton,350000,15408538.2248535,23338.6119476392
6,Cedonia/Frankford,103225,88000,94500,97250,78575,69950,85000,112750,110000,138500,Cedonia/Frankford,205000,71541340.3060913,39962.5498346887
7,Cherry Hill,69000,61050,16000,34850,23500,19109,38000,45000,54080,49000,Cherry Hill,67000,29144181.3517456,22305.3020666774
8,Chinquapin Park/Belvedere,117450,130000,124000,125000,120000,109500,125000,145000,153500,159900,Chinquapin Park/Belvedere,220000,21022590.1298218,21705.411630324
9,Claremont/Armistead,139000,135000,79200,97000,90000,104900,76786,88820,131820,130000,Orchard Ridge/Armistead,195000,61243774.4198608,40104.4159801772
10,Clifton-Berea,13250,16050,21250,24000,20000,19000,13000,42786,58000,48000,Clifton-Berea,75500,23285233.9247437,24022.7646207855
11,Cross-Country/Cheswolde,165000,143500,111250,131250,165000,200000,180000,172500,208000,170000,Cross-Country/Cheswolde,213500,38222018.3170166,26788.3018784185
12,Dickeyville/Franklintown,245000,140625,225000,235000,227550,210000,172500,230000,230000,234000,Dickeyville/Franklintown,335450,35719112.4146729,31637.8174238149
13,Dorchester/Ashburton,68150,80000,100000,88500,86250,84000,75000,103000,158000,141500,Dorchester/Ashburton,260000,34118277.1813354,27136.0757115223
14,Downtown/Seton Hill,210450,157600,197500,220000,235250,215000,182000,207000,174400,199500,Downtown/Seton Hill,223275,20736554.4071045,21565.8593945388
