OBJECTID,CSA2010,ebll10,ebll11,ebll12,ebll13,ebll14,ebll15,ebll16,ebll17,ebll18,ebll19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,0,0,0,0,0,0,0,0,0,0,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,0,0,0,0,0,0,0,0,0,0,47882527.7110596,37524.9505334171
3,Belair-Edison,7.5,1.953125,1.40449438202247,,0,,0,,0,,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,0,0,0,0,0,0,0,0,0,0,176077742.748718,150987.703638772
5,Canton,0,0,0,0,0,0,0,0,0,0,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,0,0,0,0,0,0,0,0,0,0,71541340.3063965,39962.5498347165
7,Cherry Hill,0,0,0,0,0,0,0,0,0,0,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,0,0,0,0,0,0,0,,0,0,21022590.1307373,21705.411630344
9,Claremont/Armistead,0,0,0,0,0,0,0,0,0,0,61243774.4211426,40104.415980189
10,Clifton-Berea,0,0,0,,4.9645390070922,0,0,0,0,0,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,0,0,0,,0,0,0,0,0,0,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,0,0,0,0,0,0,0,,0,0,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,0,0,0,5.51181102362205,4.51127819548872,6.54205607476635,0,0,0,0,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,0,0,0,0,0,0,0,0,0,0,20736554.4064941,21565.859394559
15,Edmondson Village,0,0,5.3030303030303,0,0,0,,0,0,0,23563061.0443115,21504.551357829
16,Fells Point,0,0,0,0,0,0,0,0,0,0,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,4.58715596330275,2.95858,0,,4.5045045045045,,,,0,0,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,0,1.655629,0,0,0,,0,0,0,0,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,0,0,0,0,0,0,0,0,0,0,27051213.4559937,26454.2692113332
20,Greater Govans,0,0,0,2.57731958762887,0,,,0,0,0,22698495.7178955,22982.125714974
21,Greater Mondawmin,0,0,0,0,0,0,0,,0,0,33663448.2791138,31136.7318903515
