OBJECTID,CSA2010,resrehab10,resrehab11,resrehab12,resrehab13,resrehab14,resrehab15,resrehab16,resrehab17,resrehab18,resrehab19,resrehab20,CSA2020,resrehab21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,1.29,1.55,1.38638818869283,1.59841954022989,1.41349078547146,1.78922884236894,1.73144876325088,2.4608894357532,2.70697837932853,3.24818135679242,3.947826087,Allendale/Irvington/S. Hilton,4.086956522,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,1.94,3.13,1.7782717421506,2.36176715754376,2.60243632336656,2.27021040974529,2.7985591576614,3.85254988913525,4.12971175166297,3.45759049162614,3.767313019,Beechfield/Ten Hills/West Hills,4.376731302,47882527.7110596,37524.9505334171
3,Belair-Edison,1.35,1.91,1.76414494596313,1.50913423351867,1.90597204574333,1.73125794155019,1.76330420969023,3.05052430886558,2.73276136002542,2.89424280350438,3.305785124,Belair-Edison,3.496503497,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,1.26,1.01,1.17481203007519,1.03383458646617,1.03553777359379,0.847258178394916,1.38692994828396,1.12808460634547,1.64512338425382,2.72078501338091,2.550901006,Brooklyn/Curtis Bay/Hawkins Point,2.901942429,176077742.748718,150987.703638771
5,Canton,3.99,5.33,6.60869565217391,6.48608349900596,5.28142821720803,4.41358789982643,5.87069606143175,8.02377414561664,5.72065378900446,7.03703703703703,6.0703667,Canton,4.385530228,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,1.91,1.64,2.09990454979319,2.7027027027027,2.35481304693715,2.81622911694511,3.51351351351351,4.10044500953591,4.27527018436109,3.95250742071551,5.019857029,Cedonia/Frankford,4.47974583,71541340.3063965,39962.5498347166
7,Cherry Hill,0.4,0.51,0.203045685279188,0.40650406504065,1.11788617886179,1.11788617886179,0.507614213197969,0.913705583756345,14.6192893401015,2.00803212851405,1.419878296,Cherry Hill,2.941176471,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,2.26,1.75,1.33878765340275,2.1941242097434,2.75195239866121,2.56600966902194,3.64312267657992,2.8996282527881,3.49442379182156,3.84201077199281,3.947858473,Chinquapin Park/Belvedere,3.202979516,21022590.1307373,21705.411630344
9,Claremont/Armistead,1.52,2.65,4.56375838926174,7.57978723404255,1.41155712395236,0.882223202470225,0.913043478260869,2.01931518876207,1.14135206321334,2.38508239375542,1.843722564,Orchard Ridge/Armistead,1.492537313,61243774.4211426,40104.415980189
10,Clifton-Berea,1.71,1.24,1.49852258336851,1.58797374550074,1.15508021390374,1.17647058823529,1.20819848975188,1.8303186907838,2.64857881136951,3.71865703357416,4.903866926,Clifton-Berea,5.011881616,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,2.81,2.78,3.07692307692308,4.17094017094017,6.01503759398496,3.34928229665072,4.14241698048613,4.6559397466621,4.17665183156453,4.77499141188595,5.595854922,Cross-Country/Cheswolde,4.14507772,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,3.9,2.19,3.14465408805031,2.79503105590062,5.26315789473684,4.95356037151703,4.64396284829721,4.34782608695652,8.69565217391304,4.45859872611465,4.658385093,Dickeyville/Franklintown,4.658385093,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,1.87,2.4,2.77859023106171,3.18341121495327,3.03915838690824,3.65283459964933,5.00292568753657,6.87536571094207,5.82211819777648,6.70174466906674,6.806894537,Dorchester/Ashburton,5.492258253,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,0.9,1.04,0.887573964497041,2.37037037037037,3.34788937409025,3.20232896652111,3.58166189111747,6.02582496413199,7.74748923959828,6.69515669515669,3.851640514,Downtown/Seton Hill,3.423680456,20736554.4064941,21565.859394559
15,Edmondson Village,2.08,1.66,1.69491525423729,2.4364406779661,2.04874602613917,2.33133168491699,2.72180982679392,3.53481795687522,4.34782608695652,5.48902195608782,5.437853107,Edmondson Village,4.343220339,23563061.0443115,21504.551357829
16,Fells Point,4.39,3.66,4.66143277723258,5.29411764705882,4.78515625,4.8583984375,3.88278388278388,5.46762589928057,5.51558752997602,5.23297491039426,4.626078619,Fells Point,3.475551294,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,3.75,2.67,2.7092740534908,4.33726578764747,3.57763112191733,3.26502257728378,5.27594585213467,5.34165799514394,7.11064862989941,7.79878460499662,6.759098787,Forest Park/Walbrook,7.036395147,37200535.0296631,36886.8997811279
