OBJECTID,CSA2010,baltvac11,baltvac12,baltvac13,baltvac17,baltvac18,baltvac19,baltvac20,CSA2020,baltvac21,baltvac22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,2.973977695,2.826855124,1.712328767,1.234567901,0.879765395894428,1.30208333333333,1.61290322580645,Allendale/Irvington/S. Hilton,1.749271137,1.31578947368421,63770461.779541,38770.1655711968
2,Beechfield/Ten Hills/West Hills,6.666666667,3.703703704,6.666666667,5.714285714,5.40540540540541,3.57142857142857,5,Beechfield/Ten Hills/West Hills,0,5.55555555555556,47882527.711731,37524.9505333862
3,Belair-Edison,0.934579439,0,0,1.271186441,1.31004366812227,1.85185185185185,0,Belair-Edison,1.030927835,4.84848484848485,44950030.4730835,31307.3148434905
4,Brooklyn/Curtis Bay/Hawkins Point,2.673796791,3.773584906,3.879310345,0.666666667,0.900900900900901,0.294117647058824,1.15942028985507,Brooklyn/Curtis Bay/Hawkins Point,1.15942029,1.21951219512195,176077742.748291,150987.70363871
5,Canton,0,0,0,0,0,0,0,Canton,0,0,15408538.2248535,23338.6119476392
6,Cedonia/Frankford,2.564102564,1.449275362,1.234567901,2.380952381,1.31578947368421,3.7037037037037,1.33333333333333,Cedonia/Frankford,0,0,71541340.3060913,39962.5498346887
7,Cherry Hill,5.405405405,5.128205128,5,3.636363636,5,3.33333333333333,1.69491525423729,Cherry Hill,0,1.72413793103448,29144181.3517456,22305.3020666774
8,Chinquapin Park/Belvedere,0,5.555555556,3.703703704,0,0,0,0,Chinquapin Park/Belvedere,0,0,21022590.1298218,21705.411630324
9,Claremont/Armistead,0,0,0,0,0,0,0,Orchard Ridge/Armistead,0,33.3333333333333,61243774.4198608,40104.4159801772
10,Clifton-Berea,17.36474695,15.73426573,15.37162162,13.20907618,11.9354838709677,11.5520282186949,10.5742935278031,Clifton-Berea,8.846153846,9.52380952380952,23285233.9247437,24022.7646207855
11,Cross-Country/Cheswolde,0,0,0,0,0,0,0,Cross-Country/Cheswolde,0,0,38222018.3170166,26788.3018784185
12,Dickeyville/Franklintown,0,0,0,0,0,0,0,Dickeyville/Franklintown,0,0,35719112.4146729,31637.8174238149
13,Dorchester/Ashburton,4.310344828,4.385964912,4.081632653,0.847457627,0.840336134453782,0.833333333333333,1.8348623853211,Dorchester/Ashburton,2.02020202,2.1978021978022,34118277.1813354,27136.0757115223
14,Downtown/Seton Hill,55,55.17241379,53.73134328,33.73493976,25.6410256410256,25,35.3846153846154,Downtown/Seton Hill,30.43478261,22.8571428571429,20736554.4071045,21565.8593945388
15,Edmondson Village,5.813953488,4.166666667,1.111111111,4.587155963,4.13223140495868,3.90625,4.54545454545455,Edmondson Village,4.081632653,0,23563061.0440674,21504.551357872
16,Fells Point,0,0,0,4.87804878,6.97674418604651,5.12820512820513,5.40540540540541,Fells Point,9.090909091,9.375,12620515.7177734,27670.1699158504
17,Forest Park/Walbrook,0.588235294,1.086956522,0.558659218,2.173913043,3.2258064516129,3.09278350515464,1.76470588235294,Forest Park/Walbrook,4.430379747,2.85714285714286,37200535.0299683,36886.899781185
18,Glen-Fallstaff,0,0,2.5,2.127659574,2.32558139534884,2.22222222222222,2.4390243902439,Glen-Fallstaff,2.941176471,2.77777777777778,46995477.4777832,48549.0046179359
19,Greater Charles Village/Barclay,42.72727273,37.14285714,8.8,15.20467836,13.4969325153374,13.75,12.8205128205128,Greater Charles Village/Barclay,15.625,5.88235294117647,27051213.4544067,26454.2692113379
20,Greater Govans,16.02564103,4.790419162,3.571428571,4.819277108,3.125,3.97350993377483,4.47761194029851,Greater Govans,0.78125,0,22698495.7175903,22982.1257150066
21,Greater Mondawmin,6.52173913,7.2,6.41025641,6,4.89977728285078,4.0084388185654,3.15126050420168,Greater Mondawmin,4.033970276,3.68663594470046,33663448.2787476,31136.7318903894
22,Greater Roland Park/Poplar Hill,0,0,0,0,0,0,0,Greater Roland Park/Poplar Hill,0,0,56688145.180481,39862.7497953315
23,Greater Rosemont,7.929515419,7.665505226,6.494661922,5.930930931,6.02863602110023,5.45977011494253,4.63917525773196,Greater Rosemont,4.236006051,4.149377593361,42204384.5409546,32559.0762212062
24,Greenmount East,31.36427567,29.68858131,25.61983471,23.3490566,23.0524642289348,20.5638474295191,18.0242634315425,Oliver/Johnson Square,18.06451613,17.7869700103413,19072287.8237305,20797.473457859
25,Hamilton,0,0,0,0,0,2.32558139534884,0,Hamilton,0,0,45191100.5596313,27712.1110914795
26,Harbor East/Little Italy,18.51851852,10.71428571,5.714285714,0,0,7.69230769230769,14.2857142857143,Harbor East/Little Italy,8,10.7142857142857,10215859.0839233,18552.4075815481
27,Harford/Echodale,0,0,0,0,0,0,0,Hamilton Hills,0,0,65360039.170166,40019.1854001864
28,Highlandtown,0,0,0,0,0,0,0,Highlandtown,2.857142857,0,11684191.1188354,14976.1238513953
29,Howard Park/West Arlington,3.03030303,9.375,0,0,0,1.58730158730159,0,Howard Park/West Arlington,0,2.27272727272727,63262430.0731201,36034.4984469622
30,Inner Harbor/Federal Hill,3.703703704,4.166666667,0,0,0,0,0,Inner Harbor/Federal Hill,0,0,24995836.2617188,43415.059547794
31,Lauraville,0,1.818181818,0,0,0,0,0,Greater Lauraville,0,0,49665744.237793,34419.6765281197
32,Loch Raven,0,0,0,0,4,0,0,Loch Raven,0,0,44147812.3265991,29314.3346718107
33,Madison/East End,17.34693878,18.34586466,14.94768311,10.1910828,1.85185185185185,0,9.15032679738562,Madison/East End,0.939849624,0.726392251815981,8897845.19110107,13120.1587193821
34,Medfield/Hampden/Woodberry/Remington,20,16.41791045,1.694915254,0,0,0,0,Hampden/Remington,0,0,62441489.2410889,43152.6256992198
35,Midtown,40.38461538,43.88489209,29.03225806,9.85915493,10.7142857142857,4.34782608695652,4.8780487804878,Midtown,0,3.03030303030303,23823949.9293213,25020.0969697781
36,Midway/Coldstream,10.99706745,10.89918256,11.09693878,8.124253286,11.4450867052023,11.9075144508671,5.49313358302122,Midway/Coldstream,5.445544554,6.94444444444444,17884471.2860718,22767.8274161691
37,Morrell Park/Violetville,0,0,0,0,0,1.53846153846154,0,Morrell Park/Violetville,0,0,67470845.9886475,44412.7451302932
38,Mount Washington/Coldspring,0,0,0,0,0,0,0,Mount Washington/Coldspring,0,0,56943058.6503296,38539.7661484923
39,North Baltimore/Guilford/Homeland,0,0,0,0,0,0,0,North Baltimore/Guilford/Homeland,0,0,74923987.6934814,42904.2221443838
40,Northwood,0,0,0,0,0,0,0,Northwood,0,0,52743271.7687378,38889.894591024
41,Oldtown/Middle East,52.40464345,55.43071161,58.48303393,36.25,31.4410480349345,32.5,31.9526627218935,Oldtown/Middle East,9.85915493,6.36363636363636,24585968.2341919,23866.328178856
42,Orangeville/East Highlandtown,2.083333333,0,0,0,0,0,0,Greektown/Bayview,2.040816327,0,89894372.2116089,47825.8629265765
43,Patterson Park North & East,8.873720137,7.52688172,2.904564315,2.666666667,2.57510729613734,2.06611570247934,2.25225225225225,Patterson Park North & East,1.388888889,1.55440414507772,14507643.2041626,21786.3746600731
44,Penn North/Reservoir Hill,8.768267223,8.385744235,5.979381443,6.748466258,7.42971887550201,5.15873015873016,4.43037974683544,Penn North/Reservoir Hill,3.973509934,4.72636815920398,41059796.6773682,29078.8384985474
45,Pimlico/Arlington/Hilltop,23.94636015,22.35067437,19.28166352,18.78787879,16.4885496183206,15.210355987055,12.2203098106713,Pimlico/Arlington/Hilltop,13.28545781,6.51260504201681,30400962.0045166,24725.9340693497
46,Poppleton/The Terraces/Hollins Market,39.73799127,34.92822967,33.96226415,36.92307692,42.7027027027027,29.5302013422819,16.6666666666667,Poppleton/The Terraces/Hollins Market,13.20754717,11.8181818181818,9302012.99829102,12334.0275347364
47,Sandtown-Winchester/Harlem Park,21.11613876,21.30413141,17.14697406,19.47194719,18.3634633682207,17.9250128402671,16.2133891213389,Sandtown-Winchester/Harlem Park,16.01708489,14.3360752056404,23672092.8682861,20987.1433066415
48,South Baltimore,0,0,0,0,0,0,0,South Baltimore,0,0,46353935.4257812,68440.0258267645
49,Southeastern,0,5.882352941,0,0,0,5.88235294117647,0,Southeastern,0,0,111251478.473083,102291.480547452
50,Southern Park Heights,27.83216783,25.51020408,24.29149798,25.98039216,21.1081794195251,19.9181446111869,15.9771754636234,Southern Park Heights,17.37849779,11.3345521023766,27876227.5906372,24052.2213722085
51,Southwest Baltimore,10.74698795,10.83998123,8.224719101,10.12658228,9.67086550182852,8.93987341772152,8.27922077922078,Southwest Baltimore,6.41025641,5.45842217484009,37766068.8372192,28355.5635813649
