OBJECTID,CSA2010,shomes10,shomes11,shomes12,shomes13,shomes14,shomes15,shomes16,shomes17,shomes18,shomes19,shomes22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,118,80,76,74,184,116,174,161,223,286,75,63770461.779541,38770.1655711968
2,Beechfield/Ten Hills/West Hills,72,84,64,62,117,102,178,174,204,238,38,47882527.711731,37524.9505333862
3,Belair-Edison,153,127,132,117,184,161,222,208,345,432,73,44950030.4730835,31307.3148434905
4,Brooklyn/Curtis Bay/Hawkins Point,104,86,84,77,113,95,177,155,196,237,56,176077742.748291,150987.70363871
5,Canton,230,199,288,244,315,271,324,327,305,392,105,15408538.2248535,23338.6119476392
6,Cedonia/Frankford,195,171,141,132,262,224,315,319,358,458,66,71541340.3060913,39962.5498346887
7,Cherry Hill,9,8,6,2,18,7,16,11,13,16,3,29144181.3517456,22305.3020666774
8,Chinquapin Park/Belvedere,74,59,63,55,89,70,115,128,138,176,25,21022590.1298218,21705.411630324
9,Claremont/Armistead,16,18,6,7,17,25,29,28,34,35,6,61243774.4198608,40104.4159801772
10,Clifton-Berea,87,76,40,40,63,73,88,67,107,186,48,23285233.9247437,24022.7646207855
11,Cross-Country/Cheswolde,53,69,86,119,117,105,154,170,159,166,20,38222018.3170166,26788.3018784185
12,Dickeyville/Franklintown,4,8,11,9,10,20,17,25,19,22,6,35719112.4146729,31637.8174238149
13,Dorchester/Ashburton,84,73,57,60,148,127,181,185,224,242,33,34118277.1813354,27136.0757115223
14,Downtown/Seton Hill,20,17,30,25,34,33,37,45,39,38,12,20736554.4071045,21565.8593945388
15,Edmondson Village,70,39,49,40,87,83,109,119,195,225,53,23563061.0440674,21504.551357872
16,Fells Point,170,173,178,191,241,216,310,292,262,298,78,12620515.7177734,27670.1699158504
17,Forest Park/Walbrook,81,87,55,49,129,93,141,125,178,224,38,37200535.0299683,36886.899781185
18,Glen-Fallstaff,90,73,55,92,138,142,147,140,200,180,31,46995477.4777832,48549.0046179359
19,Greater Charles Village/Barclay,110,108,121,121,177,130,173,231,228,284,54,27051213.4544067,26454.2692113379
20,Greater Govans,92,61,54,73,100,98,153,134,177,265,60,22698495.7175903,22982.1257150066
21,Greater Mondawmin,75,52,44,42,67,60,76,93,114,155,39,33663448.2787476,31136.7318903894
