OBJECTID_1,CSA2010,hcvhouse14,hcvhouse15,hcvhouse16,hcvhouse17,hcvhouse18,hcvhouse19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,211.351755,223.3483483,219.422043,226.6710788,211.6858238,199.562089458868,63770461.7803955,38770.165571317
2,Beechfield/Ten Hills/West Hills,166.7396061,135.9427609,104.7140649,111.0657411,110.6750392,113.841113841114,47882527.7113037,37524.9505335418
3,Belair-Edison,420.3233256,420.9363958,389.319201,373.6052328,372.8087261,422.330097087379,44950030.47229,31307.3148435252
4,Brooklyn/Curtis Bay/Hawkins Point,54.51067899,55.58949297,66.12347227,66.50071124,62.61932035,55.9796437659033,176077742.748535,150987.703639067
5,Canton,16.28664495,11.03896104,9.265387161,10.51248357,11.62790698,13.0624092888244,15408538.2254028,23338.6119473758
6,Cedonia/Frankford,132.0032245,139.4854348,141.5254237,145.9246275,148.1481481,158.19209039548,71541340.3054199,39962.5498346627
7,Cherry Hill,99.64285714,94.74843922,89.46772367,80.31189084,68.16390859,70.3279336230739,29144181.3508301,22305.3020666166
8,Chinquapin Park/Belvedere,116.8831169,134.4827586,134.9899261,170.9803922,157.7726218,163.855421686747,21022590.1298218,21705.4116303026
9,Claremont/Armistead,270.2539299,227.0663034,205.1168946,219.3808883,211.4711033,201.550387596899,61243774.4208984,40104.4159801398
10,Clifton-Berea,229.0470723,233.672858,228.3372365,235.8490566,226.2678804,229.571984435798,23285233.9256592,24022.7646208602
11,Cross-Country/Cheswolde,25.06450424,27.09537572,28.8973384,38.49443969,36.22611465,43.3333333333333,38222018.3166504,26788.3018783318
12,Dickeyville/Franklintown,143.2176656,123.4652115,92.95967191,69.19494345,44.64831804,33.175355450237,35719112.4141846,31637.8174239346
13,Dorchester/Ashburton,131.8022966,139.3402265,155.7503868,163.4615385,150.4424779,152.346130408288,34118277.1813965,27136.0757115035
14,Downtown/Seton Hill,78.54703508,101.0452962,96.50218613,104.1666667,95.08578075,103.886010362694,20736554.4072266,21565.8593945825
15,Edmondson Village,184.5730028,205.2785924,222.2222222,224.6835443,235.5460385,280.558789289872,23563061.0448608,21504.5513578788
16,Fells Point,12.78079009,11.52516327,11.8895966,12.06322795,13.88286334,14.3157894736842,12620515.7177734,27670.169915882
17,Forest Park/Walbrook,209.7735399,209.1194969,173.706692,157.3359073,157.3245407,166.101694915254,37200535.0299072,36886.899781151
18,Glen-Fallstaff,199.4169096,202.5611176,188.2448537,196.5835141,214.0976894,209.096109839817,46995477.4779663,48549.0046178133
19,Greater Charles Village/Barclay,68.71141207,64.79266348,69.18497228,69.96957844,63.74589266,65.6851642129105,27051213.4561768,26454.2692113245
20,Greater Govans,199.1062562,212.9724208,233.6197637,244.5464983,336.9630974,334.689134224288,22698495.7171631,22982.125715103
21,Greater Mondawmin,250.4943968,208.9201878,213.1696429,226.1336516,223.2360097,253.357753357753,33663448.2787476,31136.7318903725
